episode,step,potato_index,angle,x,y,reward,tower_height,contacts,dx,dy,potatoes_used
89,1,3,300.0,400.00,500.00,60.89,25.44,1,0.00,0.00,1
89,2,0,60.0,306.97,474.56,49.23,25.45,1,4.31,-54.04,2
89,3,2,180.0,303.22,420.51,79.00,25.43,2,53.11,-6.23,3
90,1,3,120.0,400.00,500.00,73.33,26.67,1,0.00,0.00,1
90,2,0,150.0,423.48,473.33,63.67,26.68,1,2.01,-46.42,2
90,3,1,240.0,421.46,426.90,73.98,25.06,2,49.01,31.72,3
90,4,4,330.0,324.16,474.94,87.06,25.09,2,5.82,-59.79,4
90,5,2,60.0,319.47,415.12,91.84,25.06,1,0.28,-66.17,5
91,1,3,150.0,400.00,500.00,73.29,24.13,1,0.00,0.00,1
91,3,2,180.0,404.97,475.87,75.37,24.13,1,5.65,-56.12,2
91,4,1,150.0,400.53,419.75,73.49,24.13,2,63.26,10.57,3
91,5,0,180.0,256.95,474.91,54.96,24.13,1,115.83,-0.64,4
92,1,4,270.0,400.00,500.00,93.69,36.84,1,0.00,0.00,1
92,2,1,60.0,381.13,463.16,36.47,26.79,1,125.51,10.03,2
92,4,3,300.0,506.30,473.21,103.67,35.20,2,52.16,-31.52,3
93,1,1,240.0,400.00,500.00,72.14,26.07,1,0.00,0.00,1
93,2,0,210.0,377.07,473.93,63.01,26.10,1,1.70,-44.20,2
93,5,4,300.0,375.39,429.70,76.27,26.07,2,63.82,-15.51,3
94,1,1,270.0,400.00,500.00,62.64,26.32,1,0.00,0.00,1
94,2,3,270.0,359.55,473.68,49.85,26.29,1,0.81,-62.85,2
94,4,0,180.0,359.85,410.86,27.00,23.87,1,188.65,15.09,3
95,1,3,210.0,400.00,500.00,62.39,21.20,1,0.00,0.00,1
95,4,4,270.0,377.85,478.80,51.23,21.27,2,78.08,-28.44,2
95,5,1,240.0,301.89,450.29,67.20,21.20,2,42.83,-33.13,3
96,1,0,120.0,400.00,500.00,77.85,24.81,1,0.00,0.00,1
96,2,3,330.0,398.22,475.19,77.01,24.82,1,1.58,-55.73,2
96,4,1,210.0,398.83,419.45,77.82,24.83,2,46.40,12.80,3
97,1,4,330.0,400.00,500.00,93.93,36.96,1,0.00,0.00,1
97,2,3,60.0,421.41,463.04,81.14,36.98,1,1.87,-62.22,2
97,3,1,60.0,415.20,400.80,93.29,36.99,1,1.73,-51.69,3
97,4,0,90.0,413.26,349.29,26.06,24.86,1,143.61,124.72,4
98,1,4,210.0,400.00,500.00,91.83,35.92,1,0.00,0.00,1
98,2,0,330.0,415.97,464.08,40.61,26.00,1,96.63,10.31,2
98,3,3,90.0,315.54,474.00,74.35,26.02,2,29.26,-59.19,3
99,1,1,90.0,400.00,500.00,63.17,26.59,1,0.00,0.00,1
99,2,4,120.0,448.41,473.41,67.18,26.62,2,66.49,-13.80,2
99,3,2,300.0,515.85,459.58,31.41,26.57,1,200.30,8.37,3
99,4,0,180.0,711.46,468.63,58.26,25.72,1,110.24,5.69,4
100,1,4,90.0,400.00,500.00,82.48,36.24,1,0.00,0.00,1
100,2,1,90.0,434.05,463.76,39.78,24.59,1,85.33,11.62,2
100,3,0,90.0,350.94,475.41,86.49,24.59,2,23.88,-39.55,3
100,4,3,330.0,374.82,435.86,77.67,24.59,1,3.39,-54.21,4
101,1,3,270.0,400.00,500.00,125.81,47.91,1,0.00,0.00,1
101,2,0,270.0,400.01,452.09,26.77,24.72,1,140.15,23.21,2
101,3,4,150.0,262.08,475.28,57.73,24.72,1,1.18,-57.37,3
102,1,2,180.0,400.00,500.00,86.31,31.56,1,0.00,0.00,1
102,2,4,240.0,406.82,468.44,77.39,31.56,2,60.37,-18.25,2
102,3,3,90.0,346.89,450.19,91.45,31.60,2,60.37,-48.39,3
102,4,1,270.0,410.16,409.98,103.64,31.61,1,2.77,-56.71,4
102,5,0,60.0,407.68,354.72,61.50,29.52,2,55.07,7.64,5
103,1,4,330.0,400.00,500.00,93.93,36.96,1,0.00,0.00,1
103,2,2,210.0,421.41,463.04,79.81,36.96,1,6.58,-64.01,2
103,3,3,0.0,424.72,399.03,93.22,36.97,1,0.21,-53.45,3
104,1,4,300.0,400.00,500.00,86.05,38.02,1,0.00,0.00,1
104,3,1,240.0,446.96,461.98,73.44,38.04,1,3.79,-59.40,2
104,4,2,0.0,448.03,402.56,103.56,37.69,2,57.13,2.00,3
104,5,3,300.0,589.05,462.31,88.77,37.11,1,9.26,-67.97,4
105,1,3,0.0,400.00,500.00,89.16,30.14,1,0.00,0.00,1
105,2,4,120.0,398.88,469.86,72.11,30.11,2,77.25,-13.33,2
105,3,0,30.0,472.76,456.56,93.35,30.11,2,50.15,-34.22,3
105,4,2,300.0,423.08,424.12,35.64,30.11,1,228.62,44.28,4
106,1,2,90.0,400.00,500.00,92.87,31.73,1,0.00,0.00,1
106,2,4,120.0,399.42,468.27,85.66,31.74,1,5.52,-58.51,2
107,1,2,240.0,400.00,500.00,83.56,31.78,1,0.00,0.00,1
